index,QT_VOTOS,QT_VOTOS_ESTIMADO,time
Jair Bolsonaro,0.0,0.0,2022-10-29 23:01:49.183638
Lula,0.0,0.0,2022-10-29 23:01:49.183638
Lula,57.3,0.0,2022-10-30 17:01:56.621504
Jair Bolsonaro,42.7,0.0,2022-10-30 17:01:56.621504
Lula,57.3,68.63,2022-10-30 17:03:23.806708
Jair Bolsonaro,42.7,31.370000000000005,2022-10-30 17:03:23.806708
Lula,57.3,68.63,2022-10-30 17:04:40.310010
Jair Bolsonaro,42.7,31.370000000000005,2022-10-30 17:04:40.310010
Lula,57.3,68.63,2022-10-30 17:05:57.547814
Jair Bolsonaro,42.7,31.370000000000005,2022-10-30 17:05:57.547814
Lula,50.37,40.72142675883472,2022-10-30 17:07:05.963634
Jair Bolsonaro,49.63,59.27857324116529,2022-10-30 17:07:05.963634
Jair Bolsonaro,52.64,50.9163020996852,2022-10-30 17:09:05.463715
Lula,47.36,49.0836979003148,2022-10-30 17:09:05.463715
Jair Bolsonaro,55.58,46.552739384488824,2022-10-30 17:10:57.561665
Lula,44.42,53.44726061551117,2022-10-30 17:10:57.561665
Jair Bolsonaro,55.78,48.08299605348125,2022-10-30 17:12:26.939529
Lula,44.22,51.91700394651874,2022-10-30 17:12:26.939529
Jair Bolsonaro,56.47,48.29874183910446,2022-10-30 17:13:55.135907
Lula,43.53,51.701258160895534,2022-10-30 17:13:55.135907
Jair Bolsonaro,56.68,47.521724487908045,2022-10-30 17:15:20.541012
Lula,43.32,52.47827551209196,2022-10-30 17:15:20.541012
Jair Bolsonaro,56.51,46.99215114925677,2022-10-30 17:16:35.917317
Lula,43.49,53.00784885074324,2022-10-30 17:16:35.917317
Jair Bolsonaro,56.71,47.504049948036254,2022-10-30 17:17:55.001345
Lula,43.29,52.495950051963746,2022-10-30 17:17:55.001345
Jair Bolsonaro,56.41,48.42909995075382,2022-10-30 17:19:18.635799
Lula,43.59,51.570900049246184,2022-10-30 17:19:18.635799
Jair Bolsonaro,55.82,49.3600991772963,2022-10-30 17:20:45.491323
Lula,44.18,50.6399008227037,2022-10-30 17:20:45.491323
Jair Bolsonaro,55.39,50.11560351489862,2022-10-30 17:22:06.223150
Lula,44.61,49.88439648510138,2022-10-30 17:22:06.223150
Jair Bolsonaro,54.94,50.85843831490234,2022-10-30 17:23:33.238326
Lula,45.06,49.14156168509766,2022-10-30 17:23:33.238326
Jair Bolsonaro,53.89,51.05021523991579,2022-10-30 17:24:52.651610
Lula,46.11,48.94978476008421,2022-10-30 17:24:52.651610
Jair Bolsonaro,53.57,50.79273519617426,2022-10-30 17:26:11.691732
Lula,46.43,49.20726480382574,2022-10-30 17:26:11.691732
Jair Bolsonaro,53.23,50.434285399201194,2022-10-30 17:27:22.128866
Lula,46.77,49.56571460079882,2022-10-30 17:27:22.128866
Jair Bolsonaro,52.71,50.37808951324028,2022-10-30 17:28:40.363649
Lula,47.29,49.62191048675972,2022-10-30 17:28:40.363649
Jair Bolsonaro,52.57,50.264682921313856,2022-10-30 17:29:56.713801
Lula,47.43,49.735317078686144,2022-10-30 17:29:56.713801
Jair Bolsonaro,52.39,50.1274486648113,2022-10-30 17:31:25.038662
Lula,47.61,49.87255133518872,2022-10-30 17:31:25.038662
Jair Bolsonaro,52.22,49.944847745540386,2022-10-30 17:32:47.843663
Lula,47.78,50.055152254459614,2022-10-30 17:32:47.843663
Jair Bolsonaro,52.05,49.904004816656865,2022-10-30 17:34:15.135430
Lula,47.95,50.095995183343135,2022-10-30 17:34:15.135430
Jair Bolsonaro,52.02,49.88503135819302,2022-10-30 17:35:27.254832
Lula,47.98,50.11496864180698,2022-10-30 17:35:27.254832
Jair Bolsonaro,51.96,49.87692691152909,2022-10-30 17:36:51.875653
Lula,48.04,50.12307308847091,2022-10-30 17:36:51.875653
Jair Bolsonaro,51.82,49.80167032360628,2022-10-30 17:38:11.771884
Lula,48.18,50.19832967639372,2022-10-30 17:38:11.771884
Jair Bolsonaro,51.77,49.746883294884114,2022-10-30 17:39:35.113099
Lula,48.23,50.253116705115886,2022-10-30 17:39:35.113099
Jair Bolsonaro,51.74,49.79338618785977,2022-10-30 17:40:46.799837
Lula,48.26,50.20661381214023,2022-10-30 17:40:46.799837
Jair Bolsonaro,51.69,49.767309983594096,2022-10-30 17:42:13.367251
Lula,48.31,50.23269001640589,2022-10-30 17:42:13.367251
